,rgi_id,MB_profile,exist_diff_total_winter_summer_above_100,len_mb_profile,len_summer_balance,len_winter_balance,len_annual_balance,len_winter_balance_filtered,len_summer_balance_filtered
RGI60-06.00443,RGI60-06.00443,False,False,0,19,19,28,0,0
RGI60-11.03241,RGI60-11.03241,False,False,0,10,10,21,9,9
RGI60-11.01930,RGI60-11.01930,False,False,0,0,0,10,0,0
RGI60-11.01834,RGI60-11.01834,True,False,40,16,16,41,14,14
RGI60-11.03135,RGI60-11.03135,True,False,20,28,28,28,24,24
RGI60-11.01704,RGI60-11.01704,True,False,21,31,31,31,15,15
RGI60-11.03166,RGI60-11.03166,False,True,0,19,19,20,0,0
RGI60-11.01863,RGI60-11.01863,True,False,17,16,16,17,16,16
RGI60-11.01776,RGI60-11.01776,True,False,13,13,13,14,13,13
RGI60-11.02648,RGI60-11.02648,False,False,0,10,10,10,5,5
RGI60-11.00619,RGI60-11.00619,True,False,18,15,15,18,15,15
RGI60-11.00603,RGI60-11.00603,True,False,24,16,16,24,14,14
RGI60-11.00647,RGI60-11.00647,True,False,10,10,10,11,9,9
RGI60-11.02214,RGI60-11.02214,False,False,0,0,0,19,0,0
RGI60-11.01662,RGI60-11.01662,False,False,0,8,8,10,3,3
RGI60-11.03084,RGI60-11.03084,False,False,0,3,3,17,3,3
RGI60-16.01638,RGI60-16.01638,True,False,19,0,0,22,0,0
RGI60-13.18096,RGI60-13.18096,True,True,28,22,22,28,15,15
RGI60-13.06974,RGI60-13.06974,True,False,11,11,11,13,0,0
RGI60-13.08054,RGI60-13.08054,False,False,0,4,4,4,3,3
RGI60-13.07064,RGI60-13.07064,False,False,0,9,9,9,0,0
RGI60-13.10093,RGI60-13.10093,False,False,0,0,0,5,0,0
RGI60-13.11609,RGI60-13.11609,True,False,19,25,25,25,14,14
RGI60-13.06361,RGI60-13.06361,True,False,6,21,21,26,5,5
RGI60-13.06828,RGI60-13.06828,False,False,0,3,3,5,0,0
RGI60-13.08055,RGI60-13.08055,True,True,10,9,9,10,8,8
RGI60-13.08782,RGI60-13.08782,False,False,0,0,0,12,0,0
RGI60-13.08534,RGI60-13.08534,False,False,0,0,0,12,0,0
RGI60-13.08615,RGI60-13.08615,False,False,0,0,0,12,0,0
RGI60-13.08781,RGI60-13.08781,False,False,0,0,0,12,0,0
RGI60-13.05496,RGI60-13.05496,False,False,0,0,0,13,0,0
RGI60-13.08531,RGI60-13.08531,False,False,0,0,0,12,0,0
RGI60-13.08533,RGI60-13.08533,False,False,0,0,0,12,0,0
RGI60-13.05504,RGI60-13.05504,True,False,13,13,13,13,7,7
RGI60-13.08624,RGI60-13.08624,True,False,41,41,41,41,35,35
RGI60-13.08814,RGI60-13.08814,False,False,0,0,0,12,0,0
RGI60-13.08783,RGI60-13.08783,False,False,0,0,0,12,0,0
RGI60-08.02666,RGI60-08.02666,True,False,40,40,40,40,39,39
RGI60-08.01286,RGI60-08.01286,True,False,32,32,32,32,32,32
RGI60-08.01013,RGI60-08.01013,False,False,0,0,0,0,0,0
RGI60-08.02966,RGI60-08.02966,False,False,0,0,0,0,0,0
RGI60-08.02436,RGI60-08.02436,False,False,0,0,0,0,0,0
RGI60-08.02920,RGI60-08.02920,False,False,0,0,0,0,0,0
RGI60-08.02916,RGI60-08.02916,False,False,0,3,3,3,2,2
RGI60-08.02962,RGI60-08.02962,True,False,11,10,10,11,10,10
RGI60-08.01657,RGI60-08.01657,True,False,41,41,41,41,40,40
RGI60-08.02963,RGI60-08.02963,True,False,11,10,10,11,10,10
RGI60-08.00987,RGI60-08.00987,True,False,41,41,41,41,40,40
RGI60-08.02650,RGI60-08.02650,True,False,34,34,34,34,33,33
RGI60-08.01217,RGI60-08.01217,False,False,0,5,5,5,5,5
RGI60-08.00449,RGI60-08.00449,True,False,41,41,41,41,40,40
RGI60-08.00295,RGI60-08.00295,False,False,0,0,0,0,0,0
RGI60-08.02017,RGI60-08.02017,False,False,0,5,5,5,5,5
RGI60-08.01258,RGI60-08.01258,True,False,29,29,29,29,27,27
RGI60-08.01126,RGI60-08.01126,True,False,41,41,41,41,40,40
RGI60-08.03416,RGI60-08.03416,True,False,10,10,10,11,10,10
RGI60-08.01764,RGI60-08.01764,False,False,0,0,0,0,0,0
RGI60-08.01779,RGI60-08.01779,True,False,35,41,41,41,40,40
RGI60-08.02643,RGI60-08.02643,False,False,0,0,0,0,0,0
RGI60-08.02384,RGI60-08.02384,True,False,10,10,10,10,8,8
RGI60-08.00312,RGI60-08.00312,True,False,30,41,41,41,31,31
RGI60-08.01099,RGI60-08.01099,False,False,0,0,0,4,0,0
RGI60-08.00287,RGI60-08.00287,True,False,10,10,10,10,8,8
RGI60-08.02458,RGI60-08.02458,False,False,0,5,5,5,4,4
RGI60-08.01598,RGI60-08.01598,True,False,7,7,7,13,7,7
RGI60-08.01484,RGI60-08.01484,False,False,0,5,5,5,4,4
RGI60-08.00434,RGI60-08.00434,False,False,0,0,0,0,0,0
RGI60-08.01186,RGI60-08.01186,False,False,0,0,0,0,0,0
RGI60-15.03507,RGI60-15.03507,False,False,0,0,0,5,0,0
RGI60-15.03591,RGI60-15.03591,False,False,0,0,0,12,0,0
RGI60-15.03875,RGI60-15.03875,False,False,0,0,0,10,0,0
RGI60-15.04847,RGI60-15.04847,False,False,0,0,0,9,0,0
RGI60-15.03954,RGI60-15.03954,False,True,0,3,3,8,5,5
RGI60-18.01130,RGI60-18.01130,False,False,0,15,15,15,14,14
RGI60-18.03357,RGI60-18.03357,False,False,0,0,0,0,0,0
RGI60-18.02910,RGI60-18.02910,False,False,0,9,9,9,9,9
RGI60-16.02444,RGI60-16.02444,True,False,15,0,0,15,0,0
RGI60-16.01756,RGI60-16.01756,False,False,0,0,0,5,0,0
RGI60-16.02086,RGI60-16.02086,True,False,13,0,0,24,0,0
RGI60-14.07524,RGI60-14.07524,False,False,0,0,0,5,0,0
RGI60-12.01252,RGI60-12.01252,False,False,0,0,0,0,0,0
RGI60-10.01121,RGI60-10.01121,False,False,0,0,0,0,0,0
RGI60-12.01132,RGI60-12.01132,True,False,31,38,38,41,10,10
RGI60-12.00161,RGI60-12.00161,True,False,32,35,35,36,16,16
RGI60-10.05087,RGI60-10.05087,False,False,0,1,1,3,0,0
RGI60-12.01198,RGI60-12.01198,False,False,0,0,0,0,0,0
RGI60-12.01297,RGI60-12.01297,False,False,0,0,0,1,0,0
RGI60-12.00632,RGI60-12.00632,False,False,0,0,0,0,0,0
RGI60-10.04358,RGI60-10.04358,False,True,0,4,4,10,0,0
RGI60-10.01737,RGI60-10.01737,True,False,8,22,22,35,14,14
RGI60-10.01732,RGI60-10.01732,True,False,23,27,27,34,15,15
RGI60-10.01107,RGI60-10.01107,False,False,0,0,0,0,0,0
RGI60-12.00960,RGI60-12.00960,False,False,0,0,0,4,0,0
RGI60-10.03941,RGI60-10.03941,False,False,0,5,5,5,5,5
RGI60-10.03944,RGI60-10.03944,False,False,0,5,5,5,5,5
RGI60-10.03264,RGI60-10.03264,False,False,0,0,0,0,0,0
RGI60-10.05085,RGI60-10.05085,False,False,0,1,1,3,0,0
RGI60-10.01735,RGI60-10.01735,False,False,0,5,5,11,5,5
RGI60-12.01302,RGI60-12.01302,False,False,0,0,0,0,0,0
RGI60-12.00335,RGI60-12.00335,False,False,0,0,0,0,0,0
RGI60-10.01708,RGI60-10.01708,True,False,12,26,26,34,9,9
RGI60-08.00259,RGI60-08.00259,False,False,0,6,6,6,0,0
RGI60-08.00199,RGI60-08.00199,True,False,24,29,29,29,0,0
RGI60-08.00146,RGI60-08.00146,False,False,0,4,4,6,0,0
RGI60-08.00188,RGI60-08.00188,True,False,25,34,34,34,8,8
RGI60-08.00006,RGI60-08.00006,True,False,20,28,28,31,0,0
RGI60-08.00213,RGI60-08.00213,True,False,39,41,41,41,10,10
RGI60-08.00210,RGI60-08.00210,True,False,13,20,20,20,3,3
RGI60-07.00504,RGI60-07.00504,True,True,18,26,26,41,14,14
RGI60-07.00496,RGI60-07.00496,False,False,0,11,11,11,3,3
RGI60-07.00593,RGI60-07.00593,False,False,0,0,0,7,0,0
RGI60-07.01132,RGI60-07.01132,False,False,0,0,0,8,0,0
RGI60-07.00382,RGI60-07.00382,False,False,0,0,0,5,0,0
RGI60-07.00231,RGI60-07.00231,False,False,0,0,0,0,0,0
RGI60-07.01100,RGI60-07.01100,False,False,0,0,0,5,0,0
RGI60-07.01416,RGI60-07.01416,False,False,0,2,2,7,2,2
RGI60-07.00240,RGI60-07.00240,True,True,27,26,26,31,27,27
RGI60-07.00490,RGI60-07.00490,False,False,0,4,4,18,0,0
RGI60-07.01481,RGI60-07.01481,True,False,10,32,32,33,16,16
RGI60-07.01464,RGI60-07.01464,False,False,0,5,5,10,0,0
